ID,LINGUISTIC GROUP,MAJORITY CODE,MINORITY CODE,
1,African,1,,
2,Akan,2,,
3,Albanian,3,3,
4,Amharian,4,,
5,Arabic,5,5,
5,Arabic,6,6,
7,Armenian,7,7,
8,Azerbaijani,8,8,
9,Bajan,9,,
10,Balante,10,,
11,Bambara,11,,
12,Banda,12,,
13,Bambara,13,,
14,Bengali,14,,
15,Bhutanese,15,,
16,Bulgarian,16,,
17,Burmese,17,,
18,Cebuano,18,15,
19,Chamorro,19,16,
20,Chewo,20,,
21,Danish,21,17,
22,Dari,22,18,
23,English,23,21,
23,English,,92,Spanish-English
23,English,,53,Malay-English
24,Ewe-Adja,24,,
25,Fang,25,,
26,Fiji,26,22,
27,Philippinian,27,23,
28,Finnish,28,24,
29,Flemish,29,,
30,Fon,30,,
31,French,31,25,
31,French,,39,Comoro-French
32,Faroean,32,,
33,Ganda,33,,
34,Georgian,34,,
35,Greek,35,27,
36,Greenlandic,36,,
106,Guarani,,28,Spanish
38,Haiti,38,,
39,Han,39,55,Mandarin
40,Hausa,40,,
41,Hebraic,41,,
42,Hindi,42,29,
42,Hindi,,30,
44,Hollandaise,43,,
45,Hutu,44,,
46,Iranian,45,73,
46,Iranian,86,,Persian
47,Icelandic,46,,
48,Issa,47,32,
49,Italian,48,33,
50,Japanese,49,,
51,Juvanese,50,,
52,Khmer,51,,
53,Kikuyu,52,,
54,Chinese,53,37,
55,Kiribati,54,38,
56,Comoro,55,39,Comoro-French
57,Kongo,56,40,
58,Korean,57,41,
59,Creole,58,43,
60,Lao,59,46,
61,Luba,60,60,
62,Luxembourgish,61,,
63,Makua,62,,
64,Malagasy,63,52,
65,Malaysian,64,53,Malay-English
65,Malaysian,,54,
66,Maldivian,65,,
67,Malinke,66,,
68,Maltic,67,,
69,Mande,68,56,
70,Maori,69,57,
71,Mayotte,70,,
72,Melanese,71,60,
73,Micronese,72,,
74,Mongolian,73,,
75,Nauru,74,,
76,Nepalese,75,67,
77,Nguni,76,,
78,Niue,77,,
79,Norwegian,78,,
80,Nyamwezi,79,,
81,Ovambo,80,,
82,Ovimbundu,81,,
83,Palau,82,70,Palaung-Wa
84,Papiamento,83,,
85,Papua,84,71,
86,Pashtu,85,71,
87,Pidgin,87,,
88,Polish,88,,
89,Polynese,89,,
90,Portugese,90,75,
91,Punjabi,91,76,
92,Quechua,92,78,
92,Quechua,,93,Spanish-Quechua
93,Rumanian,93,,
94,Rundi,94,,
95,Russian,95,79,
96,Rwanda,96,,
97,Samoa,97,80,
98,Sara,98,,
99,Serbo-Crotian,99,83,
100,Shona,100,86,
101,Sinhala,101,,
102,Slavic,102,,
103,Slovenian,103,89,
104,Somali,104,,
105,Sotho,105,,
106,Spanish,37,,
106,Spanish,106,90,
106,Spanish,,91,Spanish-Aymara
106,Spanish,,92,Spanish-English
106,Spanish,,93,Spanish-Quechua
107,Sranantoga,107,,
108,Swedish,108,95,
109,Swazi,109,,
110,Tahiti,110,,
111,Thai,111,101,
112,Czekish,112,,
113,Tokelau,113,,
114,Tonga,114,,
115,Trukese,115,,
116,Tswana,116,,
117,Tuvalu,117,,
118,Turkish,118,104,
119,German,119,105,
120,Hungarian,120,107,
121,Vietnamese,121,109,
122,Voltaic,122,,
123,Welsh,123,110,
124,Wolof,124,,
125,Zulu,125,114,
126,Afar,,1,
127,Afrikaans,,2,
128,Altaic,,4,
129,Baluchi,,9,
130,Bamileke,,10,
131,Baya,,11,
132,Berbian,,12,
133,Bhojpuri,,13,
134,Bubi,,14,
135,Dinka,,19,
136,Djerma,,20,
137,Fulani,,26,
138,Irish,,31,
139,Khazakstani,,34,
140,Catalonian,,35,
141,Kavango,,26,
142,Kpelle,,42,
143,Kuru,,44,
144,Kurdish,,45,
145,Lomwe,,47,
146,Lozi,,48,
147,Luhya,,49,
148,Maithili,,50,
149,Macedonian,,51,
150,Maya,,58,
151,Mbundu,,59,
152,Mishito,,61,
153,Mole-Dagbani,,62,
154,Mossi,,63,
155,Motu,,64,
156,Mpongwe,,65,
157,Ndebele,,66,
158,Nyajana,,68,
159,Oromo,,69,
160,Pohnpeian,,74,
161,Punu,,77,
162,Sango,,81,
163,Sardinian,,82,
164,Serer,,84,
165,Shan,,85,
166,Sindhi,,87,
167,Slovakian,,88,
168,Sudanese,,94,
169,Tamilian,,96,
170,Teke,,97,
171,Telugu,,98,
172,Tem-Kabre,,99,
173,Teso,,100,
174,Tsonga,,102,
175,Tutsi,,103,
176,Ukranian,,106,
177,West-Atlantic,,108,
178,Wolof,,111,
179,Yoruba,,112,
180,Zuang,,113,
